checkId,tier
CL-27/CL-30/CL-47,Bank
CL-35,Bank
CL-37,Bank
CL-45,Bank
ITEM-58,Bank
CL-49,Bank
CL-50,Bank
CL-51,Bank
CL-52,Bank
CL-53,Bank
CL-10,Both
CL-17,Both
CL-18,Both
CL-19,Both
CL-20,Both
CL-21,Both
CL-22,Both
CL-23,Both
CL-24,Both
CL-25,Both
CL-26,Both
CL-28,Both
CL-29,Both
CL-31,Both
CL-32,Both
CL-33,Both
CL-34,Both
CL-36,Both
CL-39,Both
CL-40,Both
CL-41,Both
CL-42,Both
CL-43,Both
CL-44,Both
CL-46,Both
CL-48,Both
LAW-§6-SIMULACION,Condusef
LAW-§8-INDICADORES,Condusef
LAW-§11-URLS,Condusef
LAW-§13-TRANSFERENCIA,Condusef
LAW-§16-OTRASLINEAS,Condusef
LAW-§17-LEGENDS,Condusef
LAW-§18-COMPLETE,Condusef
LAW-§19-INTERES,Condusef
LAW-§20-WATERFALL,Condusef
LAW-§23-STATUS,Condusef
LAW-§24-QUEJAS,Condusef
LAW-§25-REESTRUCTURA,Condusef
LAW-§26-NOTAS,Condusef
LAW-§27-GLOSARIO,Condusef
LAW-ADS-PLACEMENT,Condusef
LAW-SEC-ORDER-GAP,Condusef
LAW-SEC-PRESENCE,Condusef
LAW-SEC-SIZECAP,Condusef
LAW-TYPO-BOLD,Condusef
LAW-TYPO-MINSIZE,Condusef
