Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	RZ10001	The type of component 'MudCheckBox' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\ExportManagement.razor	117		
Error (active)	CS0006	Metadata file 'F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Infrastructure.Export\obj\Debug\net10.0\ref\ExxerCube.Prisma.Infrastructure.Export.dll' could not be found	ExxerCube.Prisma.Tests	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\Tests\CSC	1		
Error (active)	RZ9986	Component attributes do not support complex content (mixed C# and markup). Attribute: 'SortBy', text: 'newFunc<FileMetadata,object>(x=>x.DownloadTimestamp)'	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\CSC	1		
Error (active)	RZ9986	Component attributes do not support complex content (mixed C# and markup). Attribute: 'SortBy', text: 'newFunc<FileMetadata,object>(x=>x.FileSize)'	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\CSC	1		
Error (active)	RZ9986	Component attributes do not support complex content (mixed C# and markup). Attribute: 'SortBy', text: 'newFunc<SLACaseViewModel,object>(x=>x.SLAStatus.FileId)'	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\CSC	1		
Error (active)	RZ9986	Component attributes do not support complex content (mixed C# and markup). Attribute: 'SortBy', text: 'newFunc<SLACaseViewModel,object>(x=>x.DisplayFileName)'	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\CSC	1		
Error (active)	RZ9986	Component attributes do not support complex content (mixed C# and markup). Attribute: 'SortBy', text: 'newFunc<SLACaseViewModel,object>(x=>x.SLAStatus.IntakeDate)'	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\CSC	1		
Error (active)	RZ9986	Component attributes do not support complex content (mixed C# and markup). Attribute: 'SortBy', text: 'newFunc<SLACaseViewModel,object>(x=>x.SLAStatus.Deadline)'	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\CSC	1		
Error (active)	RZ9986	Component attributes do not support complex content (mixed C# and markup). Attribute: 'SortBy', text: 'newFunc<SLACaseViewModel,object>(x=>x.SLAStatus.EscalationLevel)'	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\CSC	1		
Error (active)	RZ9986	Component attributes do not support complex content (mixed C# and markup). Attribute: 'SortBy', text: 'newFunc<SLACaseViewModel,object>(x=>x.SLAStatus.IsBreached)'	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\CSC	1		
Error (active)	RZ9980	Unclosed tag '4h)' with no matching end tag.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\SlaDashboard.razor	47		
Error (active)	RZ1024	End of file or an unexpected character was reached before the "4h)" tag could be parsed.  Elements inside markup blocks must be complete. They must either be self-closing ("<br />") or have matching end tags ("<p>Hello</p>").  If you intended to display a "<" character, use the "&lt;" HTML entity.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\SlaDashboard.razor	47		
Error (active)	RZ10001	The type of component 'MudChip' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Dialogs\FileMetadataViewer.razor	51		
Error (active)	RZ9980	Unclosed tag '24h)' with no matching end tag.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\SlaDashboard.razor	59		
Error (active)	RZ1024	End of file or an unexpected character was reached before the "24h)" tag could be parsed.  Elements inside markup blocks must be complete. They must either be self-closing ("<br />") or have matching end tags ("<p>Hello</p>").  If you intended to display a "<" character, use the "&lt;" HTML entity.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Pages\SlaDashboard.razor	59		
Error (active)	RZ10001	The type of component 'MudList' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Dialogs\FileMetadataViewer.razor	67		
Error (active)	RZ10001	The type of component 'MudListItem' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Dialogs\FileMetadataViewer.razor	68		
Error (active)	RZ10001	The type of component 'MudListItem' cannot be inferred based on the values provided. Consider specifying the type arguments directly using the following attributes: 'T'.	ExxerCube.Prisma.Web.UI	F:\Dynamic\ExxerCubeBanamex\ExxerCube.Prisma\Prisma\Code\Src\CSharp\UI\ExxerCube.Prisma.Web.UI\Components\Dialogs\FileMetadataViewer.razor	73		
